Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Senior Data Engineer ,Scalac,Remote,Data  Python  Golang  Amazon Glue,20000,24000,PLN
 Project Manager ,Lingaro,Remote,Project Manager  Project management  English,20160,23520,PLN
" Lead Data Software Engineer (Python, Azure) ",EPAM Systems,Remote,Data  Python  Azure Data Factory  Azure Databricks,26500,31500,PLN
 	 Software Engineer (Machine Learning MLOps) ,Tesco Technology,Kraków,Data  Python  Machine learning  Splunk,20000,27000,PLN
 Snowflake Developer ,InfiniteDATA,Remote,Data  Snowflake  Polish  English,15000,25000,PLN
 Senior BI Data Engineer ,1dea,Remote,Data  SQL  BI  DWH,28560,35280,PLN
 Lead Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  ML  Data science,19320,28560,PLN
 Senior Data Engineer ,Scalac,Remote,Data  Python  Golang  Amazon Glue,20000,24000,PLN
 Senior Data Engineer GCP - Remote  ,Link Group,Remote,Data  SQL  GCP  BigQuery,21840,30240,PLN
 Senior Data Engineer - Remote  ,Link Group,Remote,Data  SQL  dbt  Databricks,23000,25200,PLN
 Data Engineer (Kafka) ,Link Group,Remote,Data  Kafka  SQL  Python,25200,30240,PLN
 Senior Big Data Engineer (AWS) ,SoftServe,Remote,Data  Python  AWS  Airflow,20000,28000,PLN
 Azure Data Engineer ,C&F S.A.,Remote,DevOps  Azure  Git  TFS,,,
 Senior Data Engineer / Data Architect - Remote ,Link Group,Remote,Data  Python  Big data  Hadoop,28560,33600,PLN
 Experienced Data Engineer ,Euroclear,Kraków,Data  Spark  SQL  Scala,,,
 Data Engineer ,Inter Cars S.A.,Remote,Data  Scala  Data science  Spark,21000,27000,PLN
 Data Engineer with Cloud ,GFT Poland,Poznań,Data  Python  Dataproc for Spark  Dataflow for Apache Beam,19320,26376,PLN
 Expert python engineer for data science startup ,Windsor.ai,Remote,Backend  Python  Flask  pytest,9571,17227,PLN
 Data Engineer (Expert) ,VirtusLab,Remote,Data  Python  Airflow  Trino,26000,31000,PLN
 Data Scientist / ML Engineer ,Addepto,Remote,AI  Python  Machine learning  Data science,14280,25200,PLN
 Lead Data Engineer ,Sunscrapers,Remote,Data  Python  SQL  Data warehouses,30000,45000,PLN
 Data Engineer ,ITDS,Warsaw,Data  SQL  Data engineering  Python,21000,24360,PLN
 Data Engineer (Future Opening) ,Xebia sp. z o.o.,Remote,Data  Python  Airflow  PySpark,16700,31200,PLN
 Mid Big Data Engineer (Scala) ,Capco Poland,Remote,Data  Scala  Big data  Kafka,21840,26040,PLN
 Data Engineer ,The Codest,Remote,Data  ETL  AWS  SQL,17000,23000,PLN
 Senior Data Engineer  ,N-iX,Remote,Data  ETL  Data Warehousing  GCP,17227,23353,PLN
 Data Warehouse Engineer ,HSBC Technology Poland,Kraków,Data  Trino  Dremio  Data Lake,23000,30000,PLN
" Lead Data Software Engineer (Java, GCP) ",EPAM Systems,Wrocław,Data  Java  SQL  ETL,26500,31500,PLN
" Lead Data Software Engineer (Python, Azure) ",EPAM Systems,Remote,Data  Python  Azure Data Factory  Azure Databricks,26500,31500,PLN
 Data Engineer - Fulfillment (part time) ,Tesco Technology,Kraków,Data  Scala  Hadoop  Kafka,15000,23000,PLN
 Data Engineer ,Raiffeisen Tech,Warszawa,Data  Python  Big data  AWS,20000,26000,PLN
 Remote Data Engineer  ,Kingfisher plc.,Remote,Data  Python  AWS  Data modelling,15000,19000,PLN
 Senior Data Engineer ,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,Warszawa,Data  Python  PySpark  pandas,14000,28000,PLN
 Senior Data Engineer - Remote ,Link Group,Remote,Data  Azure  Python  SQL,20000,28000,PLN
 Principal Data Engineer  ,Digital Hub Warsaw at Bayer,Warsaw,Data  Golang  Kafka  REST API,32000,42000,PLN
 Senior Data Engineer z j. niemieckim  ,dmTECH,Remote,Data  Big data  Spark  Hive,15120,28896,PLN
 Ms Data Engineer Azure Data Factory ,1dea,Remote,Data  Python  Azure Data Factory  SQL,27720,31920,PLN
 Medior Data Engineer ,DATAPAO Kft.,Remote,Data  Spark  AWS  Azure,10836,16254,PLN
 Senior Data Engineer ,DATAPAO Kft.,Remote,Data  Spark  SQL  NoSQL,16254,21672,PLN
 Azure Data Engineer - Remote ,Link Group,Remote,Data  Azure  CI  Data Lake,18500,24500,PLN
 Senior/Expert Data/ML Engineer ,Nordea Bank ABP,Gdynia,Data  SQL  AI  Degree,,,
 Senior Data Engineer ,Avenga,Remote,Data  Kafka  Degree  MySQL,21840,26880,PLN
 Remote Senior Data Engineer ,Varwise,Remote,Data  Scala  Spark  AWS,28713,38284,PLN
